FGYA1177.b1	FGYA-3.CPR_A7
FGYA1177.g1	FGYA-3.CPF_A7
FGYA1178.b1	FGYA-3.CPR_C7
FGYA1178.g1	FGYA-3.CPF_C7
FGYA1179.b1	FGYA-3.CPR_E7
FGYA1179.g1	FGYA-3.CPF_E7
FGYA1180.b1	FGYA-3.CPR_G7
FGYA1180.g1	FGYA-3.CPF_G7
FGYA1181.b1	FGYA-3.CPR_I7
FGYA1181.g1	FGYA-3.CPF_I7
FGYA1182.b1	FGYA-3.CPR_K7
FGYA1182.g1	FGYA-3.CPF_K7
FGYA1183.g1	FGYA-3.CPF_M7
FGYA1184.b1	FGYA-3.CPR_O7
FGYA1184.g1	FGYA-3.CPF_O7
FGYA1185.b1	FGYA-3.CPR_A9
FGYA1185.g1	FGYA-3.CPF_A9
FGYA1186.b1	FGYA-3.CPR_C9
FGYA1186.g1	FGYA-3.CPF_C9
FGYA1187.g1	FGYA-3.CPF_E9
FGYA1188.g1	FGYA-3.CPF_G9
FGYA1189.b1	FGYA-3.CPR_I9
FGYA1189.g1	FGYA-3.CPF_I9
FGYA1191.b1	FGYA-3.CPR_M9
FGYA1191.g1	FGYA-3.CPF_M9
FGYA1192.b1	FGYA-3.CPR_O9
FGYA1192.g1	FGYA-3.CPF_O9
FGYA1193.b1	FGYA-3.CPR_A11
FGYA1193.g1	FGYA-3.CPF_A11
FGYA1194.b1	FGYA-3.CPR_C11
FGYA1194.g1	FGYA-3.CPF_C11
FGYA1195.b1	FGYA-3.CPR_E11
FGYA1195.g1	FGYA-3.CPF_E11
FGYA1196.b1	FGYA-3.CPR_G11
FGYA1196.g1	FGYA-3.CPF_G11
FGYA1197.b1	FGYA-3.CPR_I11
FGYA1197.g1	FGYA-3.CPF_I11
FGYA1198.b1	FGYA-3.CPR_K11
FGYA1198.g1	FGYA-3.CPF_K11
FGYA1199.b1	FGYA-3.CPR_M11
FGYA1199.g1	FGYA-3.CPF_M11
FGYA1200.b1	FGYA-3.CPR_O11
FGYA1200.g1	FGYA-3.CPF_O11
FGYA1201.b1	FGYA-3.CPR_A13
FGYA1201.g1	FGYA-3.CPF_A13
FGYA1202.b1	FGYA-3.CPR_C13
FGYA1202.g1	FGYA-3.CPF_C13
FGYA1203.b1	FGYA-3.CPR_E13
FGYA1203.g1	FGYA-3.CPF_E13
FGYA1204.b1	FGYA-3.CPR_G13
FGYA1204.g1	FGYA-3.CPF_G13
FGYA1205.b1	FGYA-3.CPR_I13
FGYA1205.g1	FGYA-3.CPF_I13
FGYA1206.b1	FGYA-3.CPR_K13
FGYA1206.g1	FGYA-3.CPF_K13
FGYA1208.b1	FGYA-3.CPR_O13
FGYA1208.g1	FGYA-3.CPF_O13
FGYA1209.b1	FGYA-3.CPR_A15
FGYA1209.g1	FGYA-3.CPF_A15
FGYA1210.b1	FGYA-3.CPR_C15
FGYA1210.g1	FGYA-3.CPF_C15
FGYA1211.b1	FGYA-3.CPR_E15
FGYA1211.g1	FGYA-3.CPF_E15
FGYA1212.b1	FGYA-3.CPR_G15
FGYA1212.g1	FGYA-3.CPF_G15
FGYA1213.b1	FGYA-3.CPR_I15
FGYA1213.g1	FGYA-3.CPF_I15
FGYA1214.g1	FGYA-3.CPF_K15
FGYA1215.b1	FGYA-3.CPR_M15
FGYA1215.g1	FGYA-3.CPF_M15
FGYA1216.b1	FGYA-3.CPR_O15
FGYA1216.g1	FGYA-3.CPF_O15
FGYA1217.b1	FGYA-3.CPR_A17
FGYA1217.g1	FGYA-3.CPF_A17
FGYA1218.b1	FGYA-3.CPR_C17
FGYA1218.g1	FGYA-3.CPF_C17
FGYA1219.b1	FGYA-3.CPR_E17
FGYA1219.g1	FGYA-3.CPF_E17
FGYA1220.b1	FGYA-3.CPR_G17
